text,labeled
"Forget Ivermectin, this is the best way to prevent Covid. All natural and effective. Pick it up at the feed store. https://t.co/fgJONJFKer",0
"@PaulSojo @Reuters That’s not at all what they hyped about the vaccine. When fully vaccinated people started getting Covid and yes even hospitalized, Fauci and the FDA idiots where the most surprised people on Earth. But keep changing the goal posts. It’s funny.",0
My COVID Vac Exemption Was Approved &amp; I’m BEYOND GRATEFUL 😩✨,0
@_InThisTogether Thereis no pandemic b/c pandemics are fiction b/c viruses do not exist.,0
"@davidgoffin @mcuban Of course the CDC says that.  That way, it's easier to push a worthless shot, to some, for monetary gain. 

Would you expect The CDC to say that naturally immunity is better than the vaccines??  There is no world where that would ever happen.",0
"I am convinced that anyone that goes to a Clinic or Dr and you show a temperature no matter how slight, you are automatically counted as another case of Covid !",0
@dinoangel82 @TraforReal @DeadPoolBum @OccupyDemocrats @ohvoterproject You idiot !  Fully vaxxed can still get covid and die from it !   Seems like vax not worth it,0
@atensnut COvid vaccines=blood clots,0
"@hoodlaw @ClayTravis @mcuban Greater than 5% mortality. Below that you can go f yourself with mandates. 

For the mandate crowd, what cost you are willing to pay to save even 1 life from a Covid death?  How many children will you abuse?  How many businesses destroyed?  How many cancer screenings missed?",0
@PineappleTrevor @Luigi_awake @ksorbs we have a moron. patients at risk huh genius. vaxed morons  catch and pass the virus to. so just shut up... it's a vaccine right.. then it should keep all u jabbed up sheep safe from covid.. right?except it doesn't. at all. u have taken on jabs as a new lifestyle. congrats. baaaa,0
@lllaurenA @Robin_Brownlee Keep drinking the cool aid. Some people realize that the side affects are worse than the Covid. Have you ever considered why the govt is only promoting the shot?,0
@bcraw69 @CryptoBff @slemar_ @UncleHotep You know what else poses no meaningful risk to 99% of folks? Covid.,0
@rbm56 @abc15 Imagine mandating a vaccine that doesn’t prevent you from getting from covid for kids who are mostly unaffected from it. You know what else works like a vaccine? Eating healthy and exercising.,0
"@mcuban @mcuban we are talking about segregation here, literal segregation in America based on the false belief that the vax is the only answer, even though vaxxed also get and spread COVID. 

Please realize that segregation is wrong. 

Rapid testing is better and probably more effective",0
"@LucasLarrazolo @vincentperryjr1 @kostrinsky @Kristen_Taketa @sdschools If the vaccine had a one in a million fatality rate, it would still be riskier than covid infection for kids.",0
"Amid lawsuit, Montgomery County schools will allow religious exemption for staff coronavirus vaccine mandate https://t.co/KPOLv3Gj4D",0
"@DavidTh80602001 @AlboMP No, we shouldn’t. COVID isn’t serious enough to cart people into government run quarantine facilities. Home quarantine suffices. The borders should never have been shut like this, with or without a “dedicated quarantine facility.”",0
